"Id";"Offset";"Word_Id";"Letter_Id"
5888;0;5458;10
5889;1;5458;20
5890;2;5458;17
5891;0;5459;28
5892;1;5459;4
5893;2;5459;13
5894;0;5460;4
5895;1;5460;8
5896;2;5460;18
5897;0;5461;28
5898;1;5461;4
5899;2;5461;17
5900;0;5462;11
5901;1;5462;24
5902;2;5462;3
5903;0;5463;6
5904;1;5463;14
5905;2;5463;28
5906;0;5464;4
5907;1;5464;9
5908;2;5464;28
5909;0;5465;10
5910;1;5465;17
5911;2;5465;26
5912;0;5466;28
5913;1;5466;6
5914;2;5466;4
5915;0;5467;28
5916;1;5467;1
5917;2;5467;4
5918;0;5468;19
5919;1;5468;7
5920;2;5468;24
5921;0;5469;3
5922;1;5469;8
5923;2;5469;13
5924;0;5470;19
5925;1;5470;8
5926;2;5470;28
5927;0;5471;6
5928;1;5471;13
5929;2;5471;20
5930;0;5472;6
5931;1;5472;13
5932;2;5472;24
5933;0;5473;19
5934;1;5473;7
5935;2;5473;4
5936;0;5474;19
5937;1;5474;7
5938;2;5474;8
5939;0;5475;19
5940;1;5475;8
5941;2;5475;12
5942;0;5476;15
5943;1;5476;28
5944;2;5476;11
5945;0;5477;7
5946;1;5477;15
5947;2;5477;28
5948;0;5478;6
5949;1;5478;14
5950;2;5478;3
5951;0;5479;15
5952;1;5479;28
5953;2;5479;12
5954;0;5480;15
5955;1;5480;28
5956;2;5480;13
5957;0;5481;4
5958;1;5481;11
5959;2;5481;8
5960;0;5482;15
5961;1;5482;28
5962;2;5482;20
5963;0;5483;6
5964;1;5483;14
5965;2;5483;10
5966;0;5484;15
5967;1;5484;28
5968;2;5484;22
5969;0;5485;6
5970;1;5485;14
5971;2;5485;12
5972;0;5486;15
5973;1;5486;28
5974;2;5486;21
5975;0;5487;4
5976;1;5487;11
5977;2;5487;14
5978;0;5488;19
5979;1;5488;8
5980;2;5488;2
5981;0;5489;4
5982;1;5489;10
5983;2;5489;18
5984;0;5490;19
5985;1;5490;8
5986;2;5490;4
5987;0;5491;17
5988;1;5491;4
5989;2;5491;1
5990;0;5492;19
5991;1;5492;8
5992;2;5492;3
5993;0;5493;17
5994;1;5493;4
5995;2;5493;3
5996;0;5494;19
5997;1;5494;8
5998;2;5494;10
5999;0;5495;15
6000;1;5495;28
6001;2;5495;5
6002;0;5496;19
6003;1;5496;8
6004;2;5496;11
